spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_contrast_mean,spectral_flatness_mean,zero_crossing_rate_mean,zero_crossing_rate_std,rms_mean,rms_std,mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,harmonic_ratio,speech_fundamental_ratio,speech_formant_ratio,high_freq_ratio,speech_clarity_ratio,sample_id,microphone,mic_type,category,wer
2892.674518485757,1785.0902155978492,5601.289677860579,3115.6267834137475,3198.217739078173,816.4036470941413,19.463759111941048,0.0015956255,0.06803598827645976,0.07613296613139008,0.044742834,0.03191013,-306.23605,76.924,128.48544,53.723415,-6.4883423,27.78688,40.7397,27.980968,6.537647,25.012005,24.704172,19.017658,-1.7558154,16.623459,11.117472,11.75288,-5.6502285,12.776368,-6.4778647,15.895674,-1.8809928,10.060946,1.8244251,9.960398,-10.10981,11.176978,0.54812545,0.20276602,0.45982537,0.20436777,0.8669592,1,UGreen CM564,USB Gooseneck,desktop,4.444444444444445
2348.2303566800233,1765.805376856722,4264.50621821787,2859.380094211679,2267.0717160298536,890.9464608207372,19.44282148305824,0.023276702,0.06648642416147316,0.07471783952006861,0.04360167,0.03607993,-350.73795,101.83032,124.522964,71.953674,-16.670023,35.11199,33.433582,33.667633,24.191673,28.783386,13.441467,21.283453,-4.6153064,17.601019,3.8552656,13.282006,-6.7014995,13.927468,-16.300701,17.132849,1.1308372,11.166046,2.0158975,10.815751,-5.2182384,13.688476,0.4869483,0.20148005,0.52528745,0.19841012,0.9251776,2,Samson Q2U,Dynamic USB/XLR,desktop,5.396825396825397
4463.4368941412,1935.4129306608083,8020.27563409359,3306.314182424071,3905.4257236846856,1041.5839911043647,16.055561197997918,0.034941502,0.12350568272586512,0.08867953268004972,0.029075775,0.02501241,-321.56824,111.63455,82.237885,67.789406,-36.63271,28.762535,32.197617,25.744804,1.8204321,23.03859,18.508314,18.112516,-7.4917035,17.664234,1.9890894,12.78339,-4.675825,13.192569,-10.559796,16.701,3.9115012,10.497043,5.1691127,9.795336,-5.516104,12.938661,0.11154162,0.045848235,0.4403288,0.30330127,0.78947836,3,Logitech H390,USB Headset,headset,5.714285714285714
2776.624375425685,2132.9828018341414,5020.0659906787305,4476.092037150667,3674.2938903741924,1429.270814879413,17.84719654534553,0.016866565,0.06051694147541194,0.07274047838726089,0.070044875,0.05589751,-301.1144,95.93447,126.56829,65.8878,-2.4998672,31.01947,30.922232,25.36178,40.82973,23.178215,7.6502643,18.90336,-9.556158,18.74542,-6.2209506,12.247076,-3.6163871,12.846194,-10.676711,14.987641,-4.7116904,10.173136,-8.6329155,10.300115,-6.605521,11.958239,0.60667485,0.2056248,0.5633153,0.13976707,0.9087071,4,OnePlus Nord 3 5G,Smartphone built-in,mobile,5.714285714285714
1526.3295177793223,995.5293768598502,2883.613190504378,1596.3779120345926,1428.0981992126367,395.09398941338014,21.846035867160364,0.0019285363,0.045925212444475644,0.04897731611513961,0.06443116,0.05486386,-332.4576,86.60291,152.11653,58.231945,-12.002821,40.190376,34.469177,26.844444,43.304848,24.064568,-3.6400437,21.53558,-3.0713558,19.6468,-5.698159,12.717863,-7.9259167,12.825211,-4.3167896,15.069074,-10.375432,11.112421,-3.9613435,10.053155,-6.713174,11.378298,0.5446047,0.23069902,0.61989814,0.14241408,0.99301124,5,OnePlus Nord 3 5G (assumed),Smartphone built-in,mobile,5.396825396825397
2826.4112322915175,1612.6393334969334,5660.453461725648,3405.0518754188315,3893.412017691846,1041.4231107175572,16.211829329099746,0.014674793,0.0460210284972969,0.05953537757678343,0.028372953,0.020465473,-363.7081,68.32109,126.992065,51.8193,12.749465,22.47883,38.98226,26.463665,7.931196,23.972591,21.006174,18.507017,0.2590431,15.199844,0.41474468,11.222837,-9.006208,11.95028,-6.1874285,14.074994,3.710409,9.279766,-1.5947466,9.571598,-2.6629615,10.370222,0.55382514,0.1789151,0.47707218,0.1459454,0.8019327,6,Audio-Technica ATR4697,Boundary Microphone,desktop,5.396825396825397
2849.7136626667843,1427.5321344012405,5916.23252144073,3218.360242872071,4200.634054056707,869.2647270380821,15.732621556277534,0.004414648,0.040473420431589184,0.04717087048494894,0.02093895,0.011820323,-383.88394,56.298218,123.92305,43.65201,17.949926,21.753204,37.203156,24.65984,10.757083,22.555252,21.15586,17.291208,6.631331,12.973871,10.442853,11.174636,-3.8606493,10.661865,-9.856245,12.286516,-0.3972771,8.725474,1.2301642,8.62569,-3.97081,9.179338,0.6671698,0.2274796,0.40037304,0.13864243,0.76649505,7,Audio-Technica ATR4697,Boundary Microphone,desktop,4.761904761904762
1736.8445360819712,896.0392927367275,3262.6868867548465,1372.1664371231757,1536.4821309891076,373.03086601034266,19.798841255913384,1.6771439e-05,0.05835132591213841,0.04912589521644732,0.087206356,0.07862467,-270.22678,77.03466,146.6644,55.67278,-20.138817,35.65131,17.089651,27.643997,33.321804,24.420242,0.14195478,20.12495,5.1814904,18.396904,-2.6054797,12.933277,-16.799316,13.096365,-12.109116,15.2664795,-4.2176623,10.635929,0.6619891,9.823694,-9.611357,10.766665,0.52532566,0.17489475,0.6475807,0.16893472,0.99141,8,Jabra Speak 510,USB Speakerphone,desktop,5.396825396825397
1864.1037645969857,1239.647600746231,3458.659708008111,2384.6053532560845,2221.499753964199,703.5687589571287,19.77929468259949,0.0002810147,0.046295548379087295,0.04838209677753102,0.047266267,0.039538432,-313.51068,63.20863,138.03746,45.42253,7.756641,29.996576,19.884874,28.737455,14.644679,23.077343,10.536977,16.122473,6.823167,13.752268,2.7629526,11.500291,-7.91847,11.603295,-16.342348,13.246065,-5.8791428,9.296934,-5.863845,9.45977,-13.19447,10.705739,0.58982855,0.2033414,0.6159151,0.13641855,0.955675,9,Logitech C925e,Webcam built-in,desktop,5.396825396825397
2301.8779327289208,1734.6729503093134,4184.425839263614,3204.3843157500473,2870.1879575851226,979.6901693820279,17.206000621130926,0.005705449,0.05096553991336634,0.06640950345548276,0.054746643,0.047071002,-317.5658,83.2006,127.10818,61.166958,5.8586607,32.1748,29.652355,28.294113,22.76888,25.757528,21.032862,18.706375,3.2437174,16.775234,4.697022,11.623575,-7.708671,13.388497,-12.084373,16.439764,0.1421668,9.786054,0.036085356,9.632627,-3.0654767,11.7199,0.4603853,0.21146666,0.53881127,0.13723408,0.88751197,10,Maono Elf,Lavalier,lavalier,5.396825396825397
1525.5571348140115,1111.1289444354636,2658.206567697989,1821.1975517291562,1583.4036045437429,1065.6608407038304,18.801691155894645,0.0030681994,0.045289322399453824,0.04297974597173915,0.045024686,0.04642028,-386.19086,85.48495,129.25276,73.940475,12.379088,36.38783,6.894328,29.280031,23.61967,31.309397,7.242097,22.395555,-5.175518,19.07695,-10.974739,15.189763,-13.583154,15.83613,-8.361844,16.061861,-3.2353115,11.161673,-2.301153,10.925939,-6.8690114,12.683365,0.4132773,0.21698411,0.7269927,0.051192354,0.9951692,11,Yealink BH72,Wireless Headset,headset,6.031746031746032
